project,DivergentChange,FeatureEnvy,MessageChainRule,GodClass,BlobClass,LongMethodRule,ShotgunSurgery,SwitchStatementRule,IntensiveCoupling,LazyClass,LongParameterList,SwissArmyKnife,CommentDetectionRule,PrimitiveObsession,RefusedBequest,StableAbstractionBreaker,BrainMethod,SpeculativeGeneralityInterfaces,DataClump,AlternativeClassesWithDifferentInterfaces,CyclicDependencies,InappropriateIntimacy,UnstableDependencies,DataClassRule,SpeculativeGeneralityMethods,MiddleMan,TraditionBreakerRule,ParallelInheritanceHierarchies
4fd4aa18-e8d1-4300-8e2d-67ca1b888a1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
a42869ea-3fc7-47d1-8e6a-3ad97cdf9498,120,18,96,1,3,23,22,16,17,32,29,0,122,22,3,48,0,0,0,2,0,4,0,4,0,1,0,
410f853f-c66a-4818-93db-01dca73caae9,25,3,30,0,1,3,1,2,4,2,2,0,110,22,0,9,1,0,0,0,0,0,0,0,0,0,0,
9ae57455-09e3-425e-93e8-dc1975a656df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
259b6e37-8c59-44f3-8bcc-cff968a0abc7,8,0,2,0,0,0,0,0,0,4,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,
ae57d4ca-877a-4dfc-a7be-3a54d9919a3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
f3dd825c-8ce9-4559-8a84-0895c1887353,19,2,15,0,1,5,2,11,1,10,4,0,197,5,0,9,1,0,0,0,0,0,0,0,1,0,0,
31251c40-5b74-48dd-9a4b-79abda9ddd3b,400,84,763,5,15,59,5,31,56,92,69,0,396,63,0,90,5,3,2,54,4,14,3,0,20,1,0,
2a8670ba-1121-4678-958d-81c4cdf1806d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7c01fa08-48b3-437d-96c9-00304e35f915,137,31,207,0,2,11,1,9,10,16,28,0,370,32,0,47,2,0,2,8,2,2,0,0,2,0,0,
1148136e-ec35-4752-ab4b-fb3e0d8ce47a,32,11,15,0,1,4,6,0,4,6,16,0,83,10,0,11,0,0,2,0,0,0,0,1,0,0,0,
37eba797-8c6b-42cb-b6c7-05a43c6315e0,111,23,71,0,3,5,8,5,7,52,16,0,126,33,0,40,0,0,4,10,2,2,1,4,1,4,0,
8b253d96-0795-4e08-93b5-e806da906f54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
494760bd-f268-44de-ba90-558d66f2053f,90,21,77,0,2,5,4,1,6,40,22,0,60,26,0,43,3,0,38,4,0,0,0,1,0,1,0,
ff22f0ba-0c23-42bd-8574-f2c9ea809377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
dd2133f3-dd88-4063-8b13-9b8cbd9810b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
f60d7ce8-05f9-4f87-96ab-eafa4064486d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ba02fc6a-5e1c-43d8-b46b-28006175c1b1,160,20,105,2,2,8,21,17,14,52,22,1,194,34,2,81,0,1,0,2,2,0,0,17,1,0,0,
5421fffe-2821-4976-b1ee-b22d1d148ddc,51,8,68,0,0,5,1,1,7,8,13,0,43,4,0,23,0,0,0,0,1,2,0,1,0,1,0,
72cc8dbd-a094-4137-acda-d5fd52af5809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85bacea5-6b7e-4a67-9c90-37cbd6e843b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
752a86a4-3817-4b2b-a30f-52d5a40e8c04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ed04532d-d5a9-4ae6-bfa1-23ad4388fd69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
f7fa3d9c-4b4b-4e90-9e40-7e8c2ce5ef3b,14,3,10,0,0,0,2,1,0,0,0,0,69,0,0,3,0,0,0,0,0,0,0,0,5,0,0,
239021f8-d43a-468b-bbda-5ce8f4980bd8,10,3,50,0,1,7,2,1,1,0,0,0,200,18,0,4,1,0,0,0,0,0,0,0,9,0,0,
28f0042b-3e35-42ef-8ec6-5cd29bd08a3f,44,8,8,0,2,4,4,9,8,2,7,0,353,11,0,9,1,0,2,0,0,0,0,0,1,0,0,
7d989fb0-dc96-4aa1-8e32-c2d11a8116d1,100,16,84,0,5,4,4,7,9,13,22,0,16,17,0,23,0,1,0,4,0,0,0,2,0,1,0,
79093f85-73d9-44c1-9f00-829efb5524ea,117,29,67,2,5,19,30,10,16,52,28,2,455,43,0,32,6,2,10,6,0,0,0,1,1,0,0,
b61b6793-98f0-4a98-9d86-5bc1f21bc1f4,16,2,9,0,0,2,1,2,4,9,4,0,56,5,0,12,1,0,0,0,2,2,1,0,0,0,0,
2cb35db7-a604-49e5-8d8c-7711a89e2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
da4a02c9-c332-415c-be93-2d833acea8fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44957aaf-74f2-496d-aa52-14faac7265a6,120,12,56,2,3,14,7,3,12,42,22,0,111,42,4,51,0,2,16,20,1,0,0,2,0,0,0,
d05929c4-f434-4699-a60d-baefd89427fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c62deaa9-2399-4e25-ab5b-c8d97487ee67,10,1,5,0,2,1,3,0,0,5,0,0,9,9,0,5,0,1,0,0,0,0,0,0,0,0,0,
9008f2a2-bf18-4c80-9ad6-be6e1dda821f,8,2,4,0,0,0,0,0,2,0,3,0,24,3,0,4,0,0,0,0,0,0,0,0,0,0,0,
6396d7b7-b491-49f3-8408-512366d6fd41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97541b65-b57c-432c-a1ef-251b7bf149d8,248,51,180,1,6,6,19,26,25,82,77,3,136,55,0,121,0,6,6,80,3,4,0,13,0,0,0,
67855d34-9800-4c3e-8104-a9a8b0d6c9c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42b587c3-c12c-4657-8645-1fb07caaf8a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
a53007fb-df1e-4888-96ba-db6af3c7fe4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c566084a-5cca-442c-8380-9ba393a30f6d,53,4,30,0,3,3,2,3,1,12,9,0,98,10,0,13,0,0,0,0,0,0,0,1,7,0,0,
48fbe6ea-71f4-47b0-a458-5bd6a5bd9e74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
a9db75ff-041d-4e6f-9b7c-cc0ad2730360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
d013cea4-db55-4a7d-8418-515f699d9582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
be01764b-986d-48a7-b318-cb9edf00e70e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
f291d21d-f5aa-4a49-8ed8-0377247f55b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
e6f276d7-3db8-4443-9468-acff442e987a,6,0,0,0,0,1,1,1,0,0,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
08ee04c5-6ced-43ad-8e97-55c54c93c6e5,28,1,15,0,0,3,2,2,6,16,7,0,16,14,0,15,0,0,0,2,0,0,0,0,0,0,0,
04d8ed1a-2317-434e-b3ab-e29dc0ca1f74,187,35,108,0,7,14,8,25,14,56,27,0,480,54,0,59,3,0,0,16,0,0,0,6,0,2,0,
f91c4112-6661-4906-b040-f28778cbdc4a,52,6,34,2,1,5,1,2,8,17,15,0,106,9,0,25,2,2,2,2,1,0,0,1,0,1,0,
449cf022-7801-4993-9140-3e16c9c05da3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74da704d-e3f9-4b09-b5d0-42ccb3113042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ebe33de4-f78c-4dd8-b3bc-4b4fbea74d5d,13,1,10,0,0,1,0,0,2,7,2,0,9,2,0,9,0,0,0,0,0,0,0,1,0,1,0,
6275ccf6-3ff7-4f73-8178-a1fd3a01e247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
e3bd7304-1286-431f-8431-6594eb20818a,428,111,321,5,14,65,44,21,67,113,110,2,498,98,19,141,5,9,20,52,1,2,0,3,4,3,0,
2e3bbab9-c668-4f24-9c80-38d4d9b8149f,60,15,25,0,4,6,10,1,13,21,7,1,51,21,0,20,5,1,0,0,0,0,0,1,4,0,0,
b25fe3f0-1569-450d-871c-00d61905a713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0cc8177d-3cb3-41fb-9ac2-7666ba210bb5,32,3,35,0,0,0,1,4,2,6,1,0,55,1,0,15,0,0,0,0,1,0,0,1,1,0,0,
d1fd3ffe-8d7b-4008-8e67-075e16449792,96,10,102,0,4,2,9,0,3,18,7,0,218,13,0,33,0,0,0,2,1,4,1,1,2,0,0,
8ac876f7-8157-409b-aca9-404c0aec4594,679,187,556,20,11,55,56,55,83,73,109,0,890,63,24,138,2,6,0,92,5,34,2,0,6,2,0,
d6d4c99b-b1a3-4fee-bdad-bda5f9e39779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c8b8af76-5a8c-47df-a0d5-ef9015fb851d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9b691eb1-28b9-4fad-a996-a1b29ad41b42,202,36,89,2,4,13,16,13,14,55,27,0,132,49,2,76,1,0,0,16,1,2,0,4,1,3,2,
771218da-1e81-4a98-b884-33ddf3d7aada,84,16,79,0,2,9,3,13,5,12,18,0,63,26,0,27,2,0,16,0,0,0,0,2,3,0,0,
7c500d79-0fc8-4cee-aec6-07f6215f6995,19,3,13,0,0,2,0,1,1,4,2,0,3,5,0,9,0,0,0,0,0,0,0,1,1,0,0,
1b6d0350-41ec-4df7-9410-9732df401f6c,64,17,27,0,2,5,1,4,4,12,8,0,92,10,0,22,0,0,16,0,0,0,0,0,0,0,0,
f5376e06-382f-4eb7-96d2-e7f92cf7782f,186,45,133,0,5,24,9,14,33,22,48,0,145,53,0,28,6,0,6,16,4,4,2,3,25,0,0,
